key,region,process_res,process_ely,process_deriv,process_flh,value,source
"ARE,PV-FIX,AEL-EL,,AEL-EL",ARE,PV-FIX,AEL-EL,,AEL-EL,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,,H2-COMP",ARE,PV-FIX,AEL-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,AEL-EL,,H2-LIQ",ARE,PV-FIX,AEL-EL,,H2-LIQ,2951.0,öko
"ARE,PV-FIX,AEL-EL,,H2-RGAS",ARE,PV-FIX,AEL-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH3OHSYN,AEL-EL",ARE,PV-FIX,AEL-EL,CH3OHSYN,AEL-EL,3042.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,AEL-EL,CH3OHSYN,CH3OHSYN,8224.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,AEL-EL",ARE,PV-FIX,AEL-EL,CH4SYN,AEL-EL,2992.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,ATR",ARE,PV-FIX,AEL-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,AEL-EL,CH4SYN,CH4-LIQ,8245.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,AEL-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,AEL-EL,CH4SYN,CH4SYN",ARE,PV-FIX,AEL-EL,CH4SYN,CH4SYN,8245.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,DRI,AEL-EL",ARE,PV-FIX,AEL-EL,DRI,AEL-EL,7008.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,DRI,DRI",ARE,PV-FIX,AEL-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,AEL-EL,EFUELSYN,AEL-EL",ARE,PV-FIX,AEL-EL,EFUELSYN,AEL-EL,3012.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,EFUELSYN,EFUELSYN",ARE,PV-FIX,AEL-EL,EFUELSYN,EFUELSYN,8220.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,AEL-EL",ARE,PV-FIX,AEL-EL,LOHC-CON,AEL-EL,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-CON",ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-CON,2889.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-REC",ARE,PV-FIX,AEL-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-FIX,AEL-EL,NH3SYN,AEL-EL",ARE,PV-FIX,AEL-EL,NH3SYN,AEL-EL,2926.0,PTX Atlas
"ARE,PV-FIX,AEL-EL,NH3SYN,NH3-REC",ARE,PV-FIX,AEL-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-FIX,AEL-EL,NH3SYN,NH3SYN",ARE,PV-FIX,AEL-EL,NH3SYN,NH3SYN,8161.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,,H2-COMP",ARE,PV-FIX,PEM-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,PEM-EL,,H2-LIQ",ARE,PV-FIX,PEM-EL,,H2-LIQ,2951.0,öko
"ARE,PV-FIX,PEM-EL,,H2-RGAS",ARE,PV-FIX,PEM-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,PEM-EL,,PEM-EL",ARE,PV-FIX,PEM-EL,,PEM-EL,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,PEM-EL,CH3OHSYN,CH3OHSYN,8224.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH3OHSYN,PEM-EL",ARE,PV-FIX,PEM-EL,CH3OHSYN,PEM-EL,3042.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,ATR",ARE,PV-FIX,PEM-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,PEM-EL,CH4SYN,CH4-LIQ,8245.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,PEM-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,PEM-EL,CH4SYN,CH4SYN",ARE,PV-FIX,PEM-EL,CH4SYN,CH4SYN,8245.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,CH4SYN,PEM-EL",ARE,PV-FIX,PEM-EL,CH4SYN,PEM-EL,2992.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,DRI,DRI",ARE,PV-FIX,PEM-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,PEM-EL,DRI,PEM-EL",ARE,PV-FIX,PEM-EL,DRI,PEM-EL,7008.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,EFUELSYN,EFUELSYN",ARE,PV-FIX,PEM-EL,EFUELSYN,EFUELSYN,8220.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,EFUELSYN,PEM-EL",ARE,PV-FIX,PEM-EL,EFUELSYN,PEM-EL,3012.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-CON",ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-CON,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-REC",ARE,PV-FIX,PEM-EL,LOHC-CON,LOHC-REC,7008.0,öko
"ARE,PV-FIX,PEM-EL,LOHC-CON,PEM-EL",ARE,PV-FIX,PEM-EL,LOHC-CON,PEM-EL,2889.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,NH3SYN,NH3-REC",ARE,PV-FIX,PEM-EL,NH3SYN,NH3-REC,7008.0,öko
"ARE,PV-FIX,PEM-EL,NH3SYN,NH3SYN",ARE,PV-FIX,PEM-EL,NH3SYN,NH3SYN,8161.0,PTX Atlas
"ARE,PV-FIX,PEM-EL,NH3SYN,PEM-EL",ARE,PV-FIX,PEM-EL,NH3SYN,PEM-EL,2926.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,,H2-COMP",ARE,PV-FIX,SOEC-EL,,H2-COMP,7008.0,
"ARE,PV-FIX,SOEC-EL,,H2-LIQ",ARE,PV-FIX,SOEC-EL,,H2-LIQ,2937.0,öko
"ARE,PV-FIX,SOEC-EL,,H2-RGAS",ARE,PV-FIX,SOEC-EL,,H2-RGAS,7008.0,öko
"ARE,PV-FIX,SOEC-EL,,SOEC-EL",ARE,PV-FIX,SOEC-EL,,SOEC-EL,2866.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHREC",ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHREC,7008.0,öko
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHSYN",ARE,PV-FIX,SOEC-EL,CH3OHSYN,CH3OHSYN,8232.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH3OHSYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,CH3OHSYN,SOEC-EL,8232.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,ATR",ARE,PV-FIX,SOEC-EL,CH4SYN,ATR,7008.0,
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-LIQ",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-LIQ,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-RGAS",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4-RGAS,7008.0,öko
"ARE,PV-FIX,SOEC-EL,CH4SYN,CH4SYN",ARE,PV-FIX,SOEC-EL,CH4SYN,CH4SYN,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,CH4SYN,SOEC-EL",ARE,PV-FIX,SOEC-EL,CH4SYN,SOEC-EL,7852.0,PTX Atlas
"ARE,PV-FIX,SOEC-EL,DRI,DRI",ARE,PV-FIX,SOEC-EL,DRI,DRI,7008.0,öko
"ARE,PV-FIX,SOEC-EL,DRI,SOEC-EL",ARE,PV-FIX,SOEC-EL,DRI,SOEC-EL,7008.0,PTX Atlas
