key,process_res,process_ely,process_deriv,value,source
"PV-FIX,AEL-EL,",PV-FIX,AEL-EL,,0.0959,PTX Atlas / öko
"PV-FIX,AEL-EL,CH3OHSYN",PV-FIX,AEL-EL,CH3OHSYN,0.0664,PTX Atlas / öko
"PV-FIX,AEL-EL,CH4SYN",PV-FIX,AEL-EL,CH4SYN,0.073,PTX Atlas / öko
"PV-FIX,AEL-EL,DRI",PV-FIX,AEL-EL,DRI,0.073,PTX Atlas / öko
"PV-FIX,AEL-EL,EFUELSYN",PV-FIX,AEL-EL,EFUELSYN,0.0631,PTX Atlas / öko
"PV-FIX,AEL-EL,LOHC-CON",PV-FIX,AEL-EL,LOHC-CON,0.073,PTX Atlas / öko
"PV-FIX,AEL-EL,NH3SYN",PV-FIX,AEL-EL,NH3SYN,0.0482,PTX Atlas / öko
"PV-FIX,PEM-EL,",PV-FIX,PEM-EL,,0.0959,PTX Atlas / öko
"PV-FIX,PEM-EL,CH3OHSYN",PV-FIX,PEM-EL,CH3OHSYN,0.0664,PTX Atlas / öko
"PV-FIX,PEM-EL,CH4SYN",PV-FIX,PEM-EL,CH4SYN,0.073,PTX Atlas / öko
"PV-FIX,PEM-EL,DRI",PV-FIX,PEM-EL,DRI,0.073,PTX Atlas / öko
"PV-FIX,PEM-EL,EFUELSYN",PV-FIX,PEM-EL,EFUELSYN,0.0631,PTX Atlas / öko
"PV-FIX,PEM-EL,LOHC-CON",PV-FIX,PEM-EL,LOHC-CON,0.073,PTX Atlas / öko
"PV-FIX,PEM-EL,NH3SYN",PV-FIX,PEM-EL,NH3SYN,0.0482,PTX Atlas / öko
"PV-FIX,SOEC-EL,",PV-FIX,SOEC-EL,,0.1027,PTX Atlas / öko
"PV-FIX,SOEC-EL,CH3OHSYN",PV-FIX,SOEC-EL,CH3OHSYN,0.4926,PTX Atlas / öko
"PV-FIX,SOEC-EL,CH4SYN",PV-FIX,SOEC-EL,CH4SYN,0.4649,PTX Atlas / öko
"PV-FIX,SOEC-EL,DRI",PV-FIX,SOEC-EL,DRI,0.4649,PTX Atlas / öko
"PV-FIX,SOEC-EL,EFUELSYN",PV-FIX,SOEC-EL,EFUELSYN,0.5156,PTX Atlas / öko
"PV-FIX,SOEC-EL,LOHC-CON",PV-FIX,SOEC-EL,LOHC-CON,0.4649,PTX Atlas / öko
"PV-FIX,SOEC-EL,NH3SYN",PV-FIX,SOEC-EL,NH3SYN,0.2427,PTX Atlas / öko
"PV-TRK,AEL-EL,",PV-TRK,AEL-EL,,0.0959,PTX Atlas / öko
"PV-TRK,AEL-EL,CH3OHSYN",PV-TRK,AEL-EL,CH3OHSYN,0.0664,PTX Atlas / öko
"PV-TRK,AEL-EL,CH4SYN",PV-TRK,AEL-EL,CH4SYN,0.073,PTX Atlas / öko
"PV-TRK,AEL-EL,DRI",PV-TRK,AEL-EL,DRI,0.073,PTX Atlas / öko
"PV-TRK,AEL-EL,EFUELSYN",PV-TRK,AEL-EL,EFUELSYN,0.0631,PTX Atlas / öko
"PV-TRK,AEL-EL,LOHC-CON",PV-TRK,AEL-EL,LOHC-CON,0.073,PTX Atlas / öko
"PV-TRK,AEL-EL,NH3SYN",PV-TRK,AEL-EL,NH3SYN,0.0482,PTX Atlas / öko
"PV-TRK,PEM-EL,",PV-TRK,PEM-EL,,0.0959,PTX Atlas / öko
"PV-TRK,PEM-EL,CH3OHSYN",PV-TRK,PEM-EL,CH3OHSYN,0.0664,PTX Atlas / öko
"PV-TRK,PEM-EL,CH4SYN",PV-TRK,PEM-EL,CH4SYN,0.073,PTX Atlas / öko
"PV-TRK,PEM-EL,DRI",PV-TRK,PEM-EL,DRI,0.073,PTX Atlas / öko
"PV-TRK,PEM-EL,EFUELSYN",PV-TRK,PEM-EL,EFUELSYN,0.0631,PTX Atlas / öko
"PV-TRK,PEM-EL,LOHC-CON",PV-TRK,PEM-EL,LOHC-CON,0.073,PTX Atlas / öko
"PV-TRK,PEM-EL,NH3SYN",PV-TRK,PEM-EL,NH3SYN,0.0482,PTX Atlas / öko
"PV-TRK,SOEC-EL,",PV-TRK,SOEC-EL,,0.1027,PTX Atlas / öko
"PV-TRK,SOEC-EL,CH3OHSYN",PV-TRK,SOEC-EL,CH3OHSYN,0.4926,PTX Atlas / öko
"PV-TRK,SOEC-EL,CH4SYN",PV-TRK,SOEC-EL,CH4SYN,0.4649,PTX Atlas / öko
"PV-TRK,SOEC-EL,DRI",PV-TRK,SOEC-EL,DRI,0.4649,PTX Atlas / öko
"PV-TRK,SOEC-EL,EFUELSYN",PV-TRK,SOEC-EL,EFUELSYN,0.5156,PTX Atlas / öko
"PV-TRK,SOEC-EL,LOHC-CON",PV-TRK,SOEC-EL,LOHC-CON,0.4649,PTX Atlas / öko
"PV-TRK,SOEC-EL,NH3SYN",PV-TRK,SOEC-EL,NH3SYN,0.2427,PTX Atlas / öko
"RES-HYBR,AEL-EL,",RES-HYBR,AEL-EL,,0.0384,PTX Atlas / öko
"RES-HYBR,AEL-EL,CH3OHSYN",RES-HYBR,AEL-EL,CH3OHSYN,0.0397,PTX Atlas / öko
"RES-HYBR,AEL-EL,CH4SYN",RES-HYBR,AEL-EL,CH4SYN,0.0391,PTX Atlas / öko
"RES-HYBR,AEL-EL,DRI",RES-HYBR,AEL-EL,DRI,0.0391,PTX Atlas / öko
"RES-HYBR,AEL-EL,EFUELSYN",RES-HYBR,AEL-EL,EFUELSYN,0.037,PTX Atlas / öko
"RES-HYBR,AEL-EL,LOHC-CON",RES-HYBR,AEL-EL,LOHC-CON,0.0391,PTX Atlas / öko
"RES-HYBR,AEL-EL,NH3SYN",RES-HYBR,AEL-EL,NH3SYN,0.0213,PTX Atlas / öko
"RES-HYBR,PEM-EL,",RES-HYBR,PEM-EL,,0.0384,PTX Atlas / öko
"RES-HYBR,PEM-EL,CH3OHSYN",RES-HYBR,PEM-EL,CH3OHSYN,0.0397,PTX Atlas / öko
"RES-HYBR,PEM-EL,CH4SYN",RES-HYBR,PEM-EL,CH4SYN,0.0391,PTX Atlas / öko
"RES-HYBR,PEM-EL,DRI",RES-HYBR,PEM-EL,DRI,0.0391,PTX Atlas / öko
"RES-HYBR,PEM-EL,EFUELSYN",RES-HYBR,PEM-EL,EFUELSYN,0.037,PTX Atlas / öko
"RES-HYBR,PEM-EL,LOHC-CON",RES-HYBR,PEM-EL,LOHC-CON,0.0391,PTX Atlas / öko
"RES-HYBR,PEM-EL,NH3SYN",RES-HYBR,PEM-EL,NH3SYN,0.0213,PTX Atlas / öko
"RES-HYBR,SOEC-EL,",RES-HYBR,SOEC-EL,,0.0431,PTX Atlas / öko
"RES-HYBR,SOEC-EL,CH3OHSYN",RES-HYBR,SOEC-EL,CH3OHSYN,0.1218,PTX Atlas / öko
"RES-HYBR,SOEC-EL,CH4SYN",RES-HYBR,SOEC-EL,CH4SYN,0.1209,PTX Atlas / öko
"RES-HYBR,SOEC-EL,DRI",RES-HYBR,SOEC-EL,DRI,0.1209,PTX Atlas / öko
"RES-HYBR,SOEC-EL,EFUELSYN",RES-HYBR,SOEC-EL,EFUELSYN,0.1274,PTX Atlas / öko
"RES-HYBR,SOEC-EL,LOHC-CON",RES-HYBR,SOEC-EL,LOHC-CON,0.1209,PTX Atlas / öko
"RES-HYBR,SOEC-EL,NH3SYN",RES-HYBR,SOEC-EL,NH3SYN,0.0907,PTX Atlas / öko
"WIND-OFF,AEL-EL,",WIND-OFF,AEL-EL,,0.0065,PTX Atlas / öko
"WIND-OFF,AEL-EL,CH3OHSYN",WIND-OFF,AEL-EL,CH3OHSYN,0.0338,PTX Atlas / öko
"WIND-OFF,AEL-EL,CH4SYN",WIND-OFF,AEL-EL,CH4SYN,0.0267,PTX Atlas / öko
"WIND-OFF,AEL-EL,DRI",WIND-OFF,AEL-EL,DRI,0.0267,PTX Atlas / öko
"WIND-OFF,AEL-EL,EFUELSYN",WIND-OFF,AEL-EL,EFUELSYN,0.0298,PTX Atlas / öko
"WIND-OFF,AEL-EL,LOHC-CON",WIND-OFF,AEL-EL,LOHC-CON,0.0267,PTX Atlas / öko
"WIND-OFF,AEL-EL,NH3SYN",WIND-OFF,AEL-EL,NH3SYN,0.0047,PTX Atlas / öko
"WIND-OFF,PEM-EL,",WIND-OFF,PEM-EL,,0.0065,PTX Atlas / öko
"WIND-OFF,PEM-EL,CH3OHSYN",WIND-OFF,PEM-EL,CH3OHSYN,0.0338,PTX Atlas / öko
"WIND-OFF,PEM-EL,CH4SYN",WIND-OFF,PEM-EL,CH4SYN,0.0267,PTX Atlas / öko
"WIND-OFF,PEM-EL,DRI",WIND-OFF,PEM-EL,DRI,0.0267,PTX Atlas / öko
"WIND-OFF,PEM-EL,EFUELSYN",WIND-OFF,PEM-EL,EFUELSYN,0.0298,PTX Atlas / öko
"WIND-OFF,PEM-EL,LOHC-CON",WIND-OFF,PEM-EL,LOHC-CON,0.0267,PTX Atlas / öko
"WIND-OFF,PEM-EL,NH3SYN",WIND-OFF,PEM-EL,NH3SYN,0.0047,PTX Atlas / öko
"WIND-OFF,SOEC-EL,",WIND-OFF,SOEC-EL,,0.0068,PTX Atlas / öko
"WIND-OFF,SOEC-EL,CH3OHSYN",WIND-OFF,SOEC-EL,CH3OHSYN,0.0222,PTX Atlas / öko
"WIND-OFF,SOEC-EL,CH4SYN",WIND-OFF,SOEC-EL,CH4SYN,0.0187,PTX Atlas / öko
"WIND-OFF,SOEC-EL,DRI",WIND-OFF,SOEC-EL,DRI,0.0187,PTX Atlas / öko
"WIND-OFF,SOEC-EL,EFUELSYN",WIND-OFF,SOEC-EL,EFUELSYN,0.0223,PTX Atlas / öko
"WIND-OFF,SOEC-EL,LOHC-CON",WIND-OFF,SOEC-EL,LOHC-CON,0.0187,PTX Atlas / öko
"WIND-OFF,SOEC-EL,NH3SYN",WIND-OFF,SOEC-EL,NH3SYN,0.0047,PTX Atlas / öko
"WIND-ON,AEL-EL,",WIND-ON,AEL-EL,,0.0065,PTX Atlas / öko
"WIND-ON,AEL-EL,CH3OHSYN",WIND-ON,AEL-EL,CH3OHSYN,0.0338,PTX Atlas / öko
"WIND-ON,AEL-EL,CH4SYN",WIND-ON,AEL-EL,CH4SYN,0.0267,PTX Atlas / öko
"WIND-ON,AEL-EL,DRI",WIND-ON,AEL-EL,DRI,0.0267,PTX Atlas / öko
"WIND-ON,AEL-EL,EFUELSYN",WIND-ON,AEL-EL,EFUELSYN,0.0298,PTX Atlas / öko
"WIND-ON,AEL-EL,LOHC-CON",WIND-ON,AEL-EL,LOHC-CON,0.0267,PTX Atlas / öko
"WIND-ON,AEL-EL,NH3SYN",WIND-ON,AEL-EL,NH3SYN,0.0047,PTX Atlas / öko
"WIND-ON,PEM-EL,",WIND-ON,PEM-EL,,0.0065,PTX Atlas / öko
"WIND-ON,PEM-EL,CH3OHSYN",WIND-ON,PEM-EL,CH3OHSYN,0.0338,PTX Atlas / öko
"WIND-ON,PEM-EL,CH4SYN",WIND-ON,PEM-EL,CH4SYN,0.0267,PTX Atlas / öko
"WIND-ON,PEM-EL,DRI",WIND-ON,PEM-EL,DRI,0.0267,PTX Atlas / öko
"WIND-ON,PEM-EL,EFUELSYN",WIND-ON,PEM-EL,EFUELSYN,0.0298,PTX Atlas / öko
"WIND-ON,PEM-EL,LOHC-CON",WIND-ON,PEM-EL,LOHC-CON,0.0267,PTX Atlas / öko
"WIND-ON,PEM-EL,NH3SYN",WIND-ON,PEM-EL,NH3SYN,0.0047,PTX Atlas / öko
"WIND-ON,SOEC-EL,",WIND-ON,SOEC-EL,,0.0068,PTX Atlas / öko
"WIND-ON,SOEC-EL,CH3OHSYN",WIND-ON,SOEC-EL,CH3OHSYN,0.0222,PTX Atlas / öko
"WIND-ON,SOEC-EL,CH4SYN",WIND-ON,SOEC-EL,CH4SYN,0.0187,PTX Atlas / öko
"WIND-ON,SOEC-EL,DRI",WIND-ON,SOEC-EL,DRI,0.0187,PTX Atlas / öko
"WIND-ON,SOEC-EL,EFUELSYN",WIND-ON,SOEC-EL,EFUELSYN,0.0223,PTX Atlas / öko
"WIND-ON,SOEC-EL,LOHC-CON",WIND-ON,SOEC-EL,LOHC-CON,0.0187,PTX Atlas / öko
"WIND-ON,SOEC-EL,NH3SYN",WIND-ON,SOEC-EL,NH3SYN,0.0047,PTX Atlas / öko
