chain,EL_STR,ELY,H2_STR,DERIV,DERIV2,PRE_SHP,PRE_PPL,POST_SHP,POST_PPL,SHP,SHP_OWN,PPLS,PPL,PPLX,PPLR,ELY_I,DERIV_I,DERIV_I2,FLOW_OUT,CAN_PIPELINE,is_green,is_blue
Ammonia (AEL),EL-STR,AEL-EL,H2-STR,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,True,False
Ammonia (AEL) + reconv. to H2,EL-STR,AEL-EL,H2-STR,NH3SYN,,,,NH3-REC,NH3-REC,NH3-SB,NH3-S,,,,,,,,H2-G,False,True,False
Ammonia (PEM),EL-STR,PEM-EL,H2-STR,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,True,False
Ammonia (PEM) + reconv. to H2,EL-STR,PEM-EL,H2-STR,NH3SYN,,,,NH3-REC,NH3-REC,NH3-SB,NH3-S,,,,,,,,H2-G,False,True,False
Ammonia (SOEC),EL-STR,SOEC-EL,H2-STR,NH3SYN,,,,,,NH3-SB,NH3-S,,,,,,,,NH3-L,False,True,False
Ammonia (SOEC) + reconv. to H2,EL-STR,SOEC-EL,H2-STR,NH3SYN,,,,NH3-REC,NH3-REC,NH3-SB,NH3-S,,,,,,,,H2-G,False,True,False
Blue Iron (blue)*,,,,NG-DRI,,,,,,DRI-SB,,,,,,,EAF,,STL-S,False,False,True
CH3OH-L__ATR_91%_CH3OHSYN__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,ATR91%,CH3OHSYN,,CH3OH-L,True,False,True
CH3OH-L__ATR_91%_CH3OHSYN__prod_in_supply,,ATR91%,,CH3OHSYN,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,False,True
CH3OH-L__CH3OHSYC__prod_in_demand,,,,,,CH4-LIQ,CH4-COMP,CH4-RGAS,,CH4-SB,CH4-S,CH4-P-S,CH4-P-L,CH4-P-SR,CH4-P-LR,,CH3OHSYC,,CH3OH-L,True,False,True
CH3OH-L__CH3OHSYC__prod_in_supply,,,,CH3OHSYC,,,,,,CH3OH-SB,CH3OH-S,,,,,,,,CH3OH-L,False,False,True
