process_code,process_name,main_flow_code_out,main_flow_code_in,is_transformation,is_re_generation,is_transport,is_secondary,is_storage,is_pipeline,is_pipeline_retrofitted,is_pipeline_sea,is_shipping,is_shipping_own_fuel,process_class,is_ely,is_deriv,result_process_type,secondary_flows,is_green,is_blue
AEL-EL,AEL electrolysis,H2-G,EL,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,H2O-L,True,False
ATR,Methane reconversion,H2-G,CH4-G,True,False,True,False,False,True,False,False,False,False,TRNSP-PP,False,False,Transportation (Pipeline),EL,True,False
ATR_91%#B,autothermal reformer with 91% carbon capture (blue),H2-G,NG-G,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,CO2-C/EL,False,True
CCGT-CC#B,Combined Cycle Gas Turbine with CCS (blue),EL,NG-G,False,False,False,True,False,False,False,False,False,False,PROV_EL,False,False,Electricity generation,CO2-C,False,True
CH3OH-S,Methanol ship (own fuel consumption),CH3OH-L,CH3OH-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),CH3OH-L,True,False
CH3OH-S#B,Methanol ship (own fuel consumption) (blue),CH3OH-L,CH3OH-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),CH3OH-L,False,True
CH3OH-SB,Methanol ship (bunker fuel consumption),CH3OH-L,CH3OH-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
CH3OH-SB#B,Methanol ship (bunker fuel consumption) (blue),CH3OH-L,CH3OH-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,False,True
CH3OHSYC#B,Methanol Synthesis classic route with CCS (blue),CH3OH-L,NG-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-C/EL,False,True
CH3OHSYN,Methanol Synthesis,CH3OH-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-G/EL,True,False
CH3OHSYN#B,Methanol Synthesis (blue),CH3OH-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-G/EL/HEAT,False,True
CH4-COMP,Methane compression,CH4-G,CH4-G,True,False,True,False,False,True,False,False,False,False,TRNSP-PP,False,False,Transportation (Pipeline),EL,True,False
CH4-COMP#B,Methane compression (blue),NG-G,NG-G,True,False,True,False,False,True,False,False,False,False,TRNSP-PP,False,False,Transportation (Pipeline),EL,False,True
CH4-LIQ,Methane Liquefaction,CH4-L,CH4-G,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,True,False
CH4-LIQ#B,Methane Liquefaction (blue),NG-L,NG-G,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,False,True
CH4-P-L,Methane land pipeline new,CH4-G,CH4-G,False,False,True,False,False,True,False,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),CH4-G,True,False
CH4-P-L#B,Methane land pipeline new (blue),NG-G,NG-G,False,False,True,False,False,True,False,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),NG-G,False,True
CH4-P-LR,Methane land pipeline retrofitted,CH4-G,CH4-G,False,False,True,False,False,True,True,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),CH4-G,True,False
CH4-P-LR#B,Methane land pipeline retrofitted (blue),NG-G,NG-G,False,False,True,False,False,True,True,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),NG-G,False,True
CH4-P-S,Methane sea pipeline,CH4-G,CH4-G,False,False,True,False,False,True,False,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),CH4-G,True,False
CH4-P-S#B,Methane sea pipeline (blue),NG-G,NG-G,False,False,True,False,False,True,False,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),NG-G,False,True
CH4-P-SR,Methane sea pipeline retrofitted,CH4-G,CH4-G,False,False,True,False,False,True,True,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),CH4-G,True,False
CH4-P-SR#B,Methane sea pipeline retrofitted (blue),NG-G,NG-G,False,False,True,False,False,True,True,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),NG-G,False,True
CH4-RGAS,Methane Regasification,CH4-G,CH4-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),,True,False
CH4-RGAS#B,Methane Regasification (blue),NG-G,NG-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),DIESEL-L/EL/NG-G,False,True
CH4-S,LNG ship (own fuel consumption),CH4-L,CH4-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),CH4-L,True,False
CH4-S#B,LNG ship (own fuel consumption) (blue),NG-L,NG-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),NG-L,False,True
CH4-SB,LNG ship (bunker fuel consumption),CH4-L,CH4-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L/CH4-L,True,False
CH4-SB#B,LNG ship (bunker fuel consumption) (blue),NG-L,NG-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L/NG-L,False,True
CH4SYN,Methane Synthesis,CH4-G,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-G/H2O-L/HEAT,True,False
CO2-INDF#B,CO2 from fossil source,CO2-G,CO2-INDF,False,False,False,True,False,False,False,False,False,False,PROV_C,False,False,Carbon,,False,True
CO2-INDS#B,CO2 from sustainable source,CO2-G,CO2-INDS,False,False,False,True,False,False,False,False,False,False,PROV_C,False,False,Carbon,,False,True
CO2-T+S#B,CO2 transport and storage (blue),CO2-C,CO2-C,False,False,True,True,True,False,False,False,False,False,STORC,False,False,CO2 transport and storage,,False,True
DAC,Direct Air Capture,CO2-G,,False,False,False,True,False,False,False,False,False,False,PROV_C,False,False,Carbon,EL/H2O-L/HEAT,True,False
DAC#B,Direct Air Capture (blue),CO2-G,CO2-DAC,False,False,False,True,False,False,False,False,False,False,PROV_C,False,False,Carbon,EL/HEAT,False,True
DESAL,Sea Water desalination,H2O-L,,False,False,False,True,False,False,False,False,False,False,PROV_H2O,False,False,Water,EL,True,False
DRI,Green iron reduction,DRI-S,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL,True,False
DRI#B,Green iron reduction (blue),B-DRI-S,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL/IOP-S,False,True
DRI-rotary#B,"Green iron reduction, rotary (blue)",B-DRI-S,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL/IOF-S,False,True
DRI-SB,Green iron ship (bunker fuel consumption),DRI-S,DRI-S,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
DRI-SB#B,Green iron ship (bunker fuel consumption) (blue),B-DRI-S,B-DRI-S,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,False,True
EAF#B,electric arc furnance (blue),STL-S,B-DRI-S,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL/NG-G,False,True
EFUELSYN,FT e-fuels Synthesis (Fischer-Tropsch),CHX-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-G/EL/H2O-L/HEAT,True,False
EFUELSYN#B,FT e-fuels Synthesis (Fischer-Tropsch) (blue),CHX-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-G/EL/HEAT,False,True
EFUELSYNC#B,FT Synthesis (Fischer-Tropsch) using NG with CCS (blue),CHX-L,NG-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CO2-C/EL,False,True
EL-STR,electricity storage,EL,EL,False,False,True,False,True,False,False,False,False,False,STORE,False,False,Electricity and H2 storage,,True,False
H2-COMP,Hydrogen compression,H2-G,H2-G,True,False,True,False,False,True,False,False,False,False,TRNSP-PP,False,False,Transportation (Pipeline),EL,True,False
H2-COMP#B,Hydrogen compression (blue),H2-G,H2-G,True,False,True,False,False,True,False,False,False,False,TRNSP-PP,False,False,Transportation (Pipeline),EL,False,True
H2-LIQ,Hydrogen Liquefaction,H2-L,H2-G,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,True,False
H2-LIQ#B,Hydrogen Liquefaction (blue),H2-L,H2-G,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,False,True
H2-P-L,Hydrogen land pipeline new,H2-G,H2-G,False,False,True,False,False,True,False,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),,True,False
H2-P-L#B,Hydrogen land pipeline new (blue),H2-G,H2-G,False,False,True,False,False,True,False,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),,False,True
H2-P-LR,Hydrogen land pipeline retrofitted,H2-G,H2-G,False,False,True,False,False,True,True,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),,True,False
H2-P-LR#B,Hydrogen land pipeline retrofitted (blue),H2-G,H2-G,False,False,True,False,False,True,True,False,False,False,TRNSP-P,False,False,Transportation (Pipeline),,False,True
H2-P-S,Hydrogen sea pipeline,H2-G,H2-G,False,False,True,False,False,True,False,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),,True,False
H2-P-S#B,Hydrogen sea pipeline (blue),H2-G,H2-G,False,False,True,False,False,True,False,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),,False,True
H2-P-SR,Hydrogen sea pipeline retrofitted,H2-G,H2-G,False,False,True,False,False,True,True,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),,True,False
H2-P-SR#B,Hydrogen sea pipeline retrofitted (blue),H2-G,H2-G,False,False,True,False,False,True,True,True,False,False,TRNSP-P,False,False,Transportation (Pipeline),,False,True
H2-RGAS,Hydrogen Regasification,H2-G,H2-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),,True,False
H2-RGAS#B,Hydrogen Regasification (blue),H2-G,H2-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),,False,True
H2-S,Hydrogen ship (own fuel consumption),H2-L,H2-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),H2-L,True,False
H2-S#B,Hydrogen ship (own fuel consumption) (blue),H2-L,H2-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),H2-L,False,True
H2-SB,Hydrogen ship (bunker fuel consumption),H2-L,H2-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
H2-SB#B,Hydrogen ship (bunker fuel consumption) (blue),H2-L,H2-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,False,True
H2-STR,Hydrogen storage,H2-G,H2-G,False,False,True,False,True,False,False,False,False,False,STORE,False,False,Electricity and H2 storage,EL,True,False
HEATPUMP#B,Large scale Heatpump (blue),HEAT,EL,False,False,False,True,False,False,False,False,False,False,PROV_HT,False,False,Heat,,False,True
LOHC-CON,LOHC conversion,LOHC-L,H2-G,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,True,False
LOHC-REC,LOHC reconversion,H2-G,LOHC-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL/HEAT,True,False
LOHC-S,LOHC ship (own fuel consumption),LOHC-L,LOHC-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),,True,False
LOHC-SB,LOHC ship (bunker fuel consumption),LOHC-L,LOHC-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
NG-DRI-C#B,NG-based iron reduction with CCS (blue),B-DRI-S,NG-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,CH4-G/CO2-C/EL/IOP-S,False,True
NG-PROD#B,production of natural gas (blue),NG-G,,False,False,False,False,False,False,False,False,False,False,NG,False,False,Natural gas production,DIESEL-L,False,True
NH3-REC,Ammonia reconversion,H2-G,NH3-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,True,False
NH3-REC#B,Ammonia reconversion (blue),H2-G,NH3-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,False,True
NH3-S,Ammonia ship (own fuel consumption),NH3-L,NH3-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),NH3-L,True,False
NH3-S#B,Ammonia ship (own fuel consumption) (blue),NH3-L,NH3-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),NH3-L,False,True
NH3-SB,Ammonia ship (bunker fuel consumption),NH3-L,NH3-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
NH3-SB#B,Ammonia ship (bunker fuel consumption) (blue),NH3-L,NH3-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,False,True
NH3SYN,Ammonia Synthesis (Haber-Bosch),NH3-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL/N2-G,True,False
NH3SYN#B,Ammonia Synthesis (Haber-Bosch) (blue),NH3-L,H2-G,True,False,False,False,False,False,False,False,False,False,DERIV,False,True,Derivative production,EL/HEAT,False,True
PEM-EL,PEM electrolysis,H2-G,EL,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,H2O-L,True,False
PV-FIX,PV tilted,EL,,False,True,False,False,False,False,False,False,False,False,RE-GEN,False,False,Electricity generation,,True,False
REGASATR,Methane reconversion incl. regasification,H2-G,CH4-L,True,False,True,False,False,False,False,False,True,True,TRNSP-SP,False,False,Transportation (Ship),EL,True,False
RES-HYBR,Wind-PV-Hybrid,EL,,False,True,False,False,False,False,False,False,False,False,RE-GEN,False,False,Electricity generation,,True,False
SMR_52%#B,steam methane reformer with 52% carbon capture (blue),H2-G,NG-G,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,CO2-C/EL,False,True
SMR_52%_BF#B,existing steam methane reformer with retrofit 52% carbon capture (blue),H2-G,NG-G,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,CO2-C/EL,False,True
SOEC-EL,SOEC (high-temp) electrolysis,H2-G,EL,True,False,False,False,False,False,False,False,False,False,ELY,True,False,H2 production,H2O-L,True,False
SYN-S,FT e-fuels ship (own fuel consumption),CHX-L,CHX-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),CHX-L,True,False
SYN-S#B,FT e-fuels ship (own fuel consumption) (blue),CHX-L,CHX-L,False,False,True,False,False,False,False,False,True,True,TRNSP-S,False,False,Transportation (Ship),CHX-L,False,True
SYN-SB,FT e-fuels ship (bunker fuel consumption),CHX-L,CHX-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,True,False
SYN-SB#B,FT e-fuels ship (bunker fuel consumption) (blue),CHX-L,CHX-L,False,False,True,False,False,False,False,False,True,False,TRNSP-S,False,False,Transportation (Ship),BFUEL-L,False,True
WIND-OFF,Wind Offshore,EL,,False,True,False,False,False,False,False,False,False,False,RE-GEN,False,False,Electricity generation,,True,False
WIND-ON,Wind Onshore,EL,,False,True,False,False,False,False,False,False,False,False,RE-GEN,False,False,Electricity generation,,True,False
